time,frequency
63,0.00000000e+00
64,0.00000000e+00
65,0.00000000e+00
66,0.00000000e+00
67,0.00000000e+00
68,0.00000000e+00
69,0.00000000e+00
70,0.00000000e+00
71,0.00000000e+00
72,0.00000000e+00
73,0.00000000e+00
74,0.00000000e+00
75,0.00000000e+00
76,0.00000000e+00
77,0.00000000e+00
78,0.00000000e+00
79,0.00000000e+00
80,0.00000000e+00
81,0.00000000e+00
82,0.00000000e+00
83,0.00000000e+00
84,0.00000000e+00
85,0.00000000e+00
86,0.00000000e+00
87,0.00000000e+00
88,0.00000000e+00
89,0.00000000e+00
90,0.00000000e+00
91,0.00000000e+00
92,0.00000000e+00
93,0.00000000e+00
94,0.00000000e+00
95,0.00000000e+00
96,0.00000000e+00
97,0.00000000e+00
98,0.00000000e+00
99,0.00000000e+00
100,0.00000000e+00
101,0.00000000e+00
102,0.00000000e+00
103,0.00000000e+00
104,0.00000000e+00
105,0.00000000e+00
106,0.00000000e+00
107,0.00000000e+00
108,0.00000000e+00
109,0.00000000e+00
110,0.00000000e+00
111,0.00000000e+00
112,0.00000000e+00
113,0.00000000e+00
114,0.00000000e+00
115,0.00000000e+00
116,0.00000000e+00
117,0.00000000e+00
118,0.00000000e+00
119,0.00000000e+00
120,0.00000000e+00
121,0.00000000e+00
122,0.00000000e+00
123,0.00000000e+00
124,0.00000000e+00
125,0.00000000e+00
126,0.00000000e+00
127,0.00000000e+00
128,0.00000000e+00
129,0.00000000e+00
130,0.00000000e+00
131,0.00000000e+00
132,0.00000000e+00
133,0.00000000e+00
134,0.00000000e+00
135,0.00000000e+00
136,0.00000000e+00
137,0.00000000e+00
138,0.00000000e+00
139,0.00000000e+00
140,0.00000000e+00
141,0.00000000e+00
142,0.00000000e+00
143,0.00000000e+00
144,0.00000000e+00
145,0.00000000e+00
146,0.00000000e+00
147,0.00000000e+00
148,0.00000000e+00
149,0.00000000e+00
150,0.00000000e+00
151,0.00000000e+00
152,0.00000000e+00
153,0.00000000e+00
154,0.00000000e+00
155,0.00000000e+00
156,0.00000000e+00
157,0.00000000e+00
158,0.00000000e+00
159,0.00000000e+00
160,0.00000000e+00
161,0.00000000e+00
162,0.00000000e+00
163,0.00000000e+00
164,0.00000000e+00
165,0.00000000e+00
166,0.00000000e+00
167,0.00000000e+00
168,0.00000000e+00
169,0.00000000e+00
170,0.00000000e+00
171,0.00000000e+00
172,0.00000000e+00
173,0.00000000e+00
174,0.00000000e+00
175,0.00000000e+00
176,0.00000000e+00
177,0.00000000e+00
178,0.00000000e+00
179,0.00000000e+00
180,0.00000000e+00
181,0.00000000e+00
182,0.00000000e+00
183,0.00000000e+00
184,0.00000000e+00
185,0.00000000e+00
186,0.00000000e+00
187,0.00000000e+00
188,0.00000000e+00
189,0.00000000e+00
190,0.00000000e+00
191,0.00000000e+00
192,0.00000000e+00
193,0.00000000e+00
194,0.00000000e+00
195,0.00000000e+00
196,0.00000000e+00
197,0.00000000e+00
198,0.00000000e+00
199,0.00000000e+00
200,0.00000000e+00
201,0.00000000e+00
202,0.00000000e+00
203,0.00000000e+00
204,0.00000000e+00
205,0.00000000e+00
206,0.00000000e+00
207,0.00000000e+00
208,0.00000000e+00
209,0.00000000e+00
210,0.00000000e+00
211,0.00000000e+00
212,0.00000000e+00
213,0.00000000e+00
214,0.00000000e+00
215,0.00000000e+00
216,0.00000000e+00
217,0.00000000e+00
218,0.00000000e+00
219,0.00000000e+00
220,0.00000000e+00
221,0.00000000e+00
222,0.00000000e+00
223,0.00000000e+00
224,0.00000000e+00
225,0.00000000e+00
226,0.00000000e+00
227,0.00000000e+00
228,0.00000000e+00
229,0.00000000e+00
230,0.00000000e+00
231,0.00000000e+00
232,0.00000000e+00
233,0.00000000e+00
234,0.00000000e+00
235,0.00000000e+00
236,0.00000000e+00
237,0.00000000e+00
238,0.00000000e+00
239,0.00000000e+00
240,0.00000000e+00
241,0.00000000e+00
242,0.00000000e+00
243,0.00000000e+00
244,0.00000000e+00
245,0.00000000e+00
246,0.00000000e+00
247,0.00000000e+00
248,0.00000000e+00
249,0.00000000e+00
250,0.00000000e+00
251,0.00000000e+00
252,0.00000000e+00
253,0.00000000e+00
254,0.00000000e+00
255,0.00000000e+00
256,0.00000000e+00
257,0.00000000e+00
258,0.00000000e+00
259,0.00000000e+00
260,0.00000000e+00
261,0.00000000e+00
262,0.00000000e+00
263,0.00000000e+00
264,0.00000000e+00
265,0.00000000e+00
266,0.00000000e+00
267,0.00000000e+00
268,0.00000000e+00
269,0.00000000e+00
270,0.00000000e+00
271,0.00000000e+00
272,0.00000000e+00
273,0.00000000e+00
274,0.00000000e+00
275,0.00000000e+00
276,0.00000000e+00
277,0.00000000e+00
278,0.00000000e+00
279,0.00000000e+00
280,0.00000000e+00
281,0.00000000e+00
282,0.00000000e+00
283,0.00000000e+00
284,0.00000000e+00
285,0.00000000e+00
286,0.00000000e+00
287,0.00000000e+00
288,0.00000000e+00
289,0.00000000e+00
290,0.00000000e+00
291,0.00000000e+00
292,0.00000000e+00
293,0.00000000e+00
294,5.33902830e-05
295,5.33902830e-05
296,5.34931214e-04
297,5.34931214e-04
298,5.34931214e-04
299,5.34931214e-04
300,5.34931214e-04
301,5.34931214e-04
302,5.34931214e-04
303,5.34931214e-04
304,4.81540931e-04
305,5.42553744e-04
306,6.10128127e-05
307,6.10128127e-05
308,6.10128127e-05
309,6.10128127e-05
310,6.10128127e-05
311,2.02655872e-04
312,3.34408178e-04
313,3.34408178e-04
314,5.22378103e-04
315,6.34226137e-04
316,8.71567909e-04
317,1.01884331e-03
318,1.07919334e-03
319,1.21561899e-03
320,2.67547301e-03
321,3.44986048e-03
322,3.53455839e-03
323,6.62097815e-03
324,7.18207189e-03
325,8.72447691e-03
326,9.05531696e-03
327,9.88843371e-03
328,1.12169726e-02
329,1.42517943e-02
330,1.49347974e-02
331,1.52407628e-02
332,1.82206596e-02
333,1.80754163e-02
334,1.92681002e-02
335,2.11831974e-02
336,2.44956126e-02
337,2.53585384e-02
338,2.76733532e-02
339,2.60995500e-02
340,2.56677194e-02
341,2.76480525e-02
342,2.86889936e-02
343,2.86675251e-02
344,2.82559306e-02
345,2.81739546e-02
346,2.74473465e-02
347,2.72315150e-02
348,2.68046474e-02
349,2.97320902e-02
350,3.45182387e-02
351,3.81278989e-02
352,4.42301169e-02
353,5.22860186e-02
354,6.37279510e-02
355,7.68887476e-02
356,1.01678870e-01
357,1.38711178e-01
358,1.61240793e-01
359,1.83334611e-01
360,1.98930460e-01
361,2.18798715e-01
362,2.48361885e-01
363,2.89080264e-01
364,3.34336027e-01
365,3.83251843e-01
366,4.35518258e-01
367,4.79639615e-01
368,5.23760972e-01
369,5.67882329e-01
370,6.12003686e-01
371,6.56125043e-01
372,7.00246400e-01
373,7.27819976e-01
374,7.48441686e-01
375,7.58797513e-01
376,7.58728831e-01
377,7.65562778e-01
378,7.75224212e-01
379,7.85072500e-01
380,7.89623779e-01
381,8.01506283e-01
382,8.01198304e-01
383,8.06757928e-01
384,8.14280640e-01
385,8.21641263e-01
386,8.28340032e-01
387,8.38134889e-01
388,8.48053676e-01
389,8.56508196e-01
390,8.64287174e-01
391,8.72416632e-01
392,8.81230317e-01
393,8.89715403e-01
394,8.97420440e-01
395,9.06013513e-01
396,9.11577964e-01
397,9.15390296e-01
398,9.18030042e-01
399,9.18913605e-01
400,9.24337269e-01
401,9.28071378e-01
402,9.29689355e-01
403,9.29820422e-01
404,9.30636175e-01
405,9.33645479e-01
406,9.35692566e-01
407,9.39098912e-01
408,9.45107619e-01
409,9.50332975e-01
410,9.50819602e-01
411,9.52521119e-01
412,9.54862071e-01
413,9.57068003e-01
414,9.59004465e-01
415,9.60318587e-01
416,9.62649000e-01
417,9.63966517e-01
418,9.64423590e-01
419,9.65141332e-01
420,9.67131631e-01
421,9.68655347e-01
422,9.69524714e-01
423,9.70767453e-01
424,9.71115351e-01
425,9.71954686e-01
426,9.72838945e-01
427,9.72860388e-01
428,9.72871503e-01
429,9.73749297e-01
430,9.73329762e-01
431,9.71315118e-01
432,9.71680946e-01
433,9.72685710e-01
434,9.73816684e-01
435,9.74139725e-01
436,9.73955362e-01
437,9.75097512e-01
438,9.76605928e-01
439,9.77176583e-01
440,9.78840042e-01
441,9.80738780e-01
442,9.81387222e-01
443,9.81643103e-01
444,9.81267868e-01
445,9.82377526e-01
446,9.83324386e-01
447,9.83497031e-01
448,9.83496242e-01
449,9.83914916e-01
450,9.84278377e-01
451,9.85240361e-01
452,9.85818719e-01
453,9.86488204e-01
454,9.86835848e-01
455,9.86300415e-01
456,9.86178230e-01
457,9.85715762e-01
458,9.84845423e-01
459,9.83540908e-01
460,9.82573537e-01
461,9.79582731e-01
462,9.76450866e-01
463,9.74329004e-01
464,9.72671091e-01
465,9.70946937e-01
466,9.69335838e-01
467,9.67800670e-01
468,9.67112748e-01
469,9.64208016e-01
470,9.59232004e-01
471,9.56013545e-01
472,9.52571014e-01
473,9.49545227e-01
474,9.45159079e-01
475,9.39061208e-01
476,9.34420865e-01
477,9.30035592e-01
478,9.23561243e-01
479,9.14699347e-01
480,9.06783254e-01
481,9.04117514e-01
482,8.99844919e-01
483,8.92132221e-01
484,8.86492438e-01
485,8.78646164e-01
486,8.65151826e-01
487,8.48013074e-01
488,8.30874322e-01
489,8.13735570e-01
490,7.96596818e-01
491,7.79458066e-01
492,7.62319314e-01
493,7.45180562e-01
494,7.28041810e-01
495,7.10903058e-01
496,6.92945224e-01
497,6.74242918e-01
498,6.58075042e-01
499,6.31408435e-01
500,6.03691567e-01
501,5.77659807e-01
502,5.50247316e-01
503,5.19528817e-01
504,4.95886900e-01
505,4.72015694e-01
506,4.43360466e-01
507,4.17899008e-01
508,3.80874582e-01
509,3.51707734e-01
510,3.25491491e-01
511,3.01725607e-01
512,2.87886747e-01
513,2.75025114e-01
514,2.52806652e-01
515,2.32110749e-01
516,2.13689027e-01
517,1.97121633e-01
518,1.82182539e-01
519,1.68334428e-01
520,1.58542328e-01
521,1.45164587e-01
522,1.27164046e-01
523,1.13973989e-01
524,1.05067144e-01
525,9.84410486e-02
526,9.14201794e-02
527,8.20759830e-02
528,7.66442155e-02
529,6.89943276e-02
530,6.09147926e-02
531,5.27266483e-02
532,4.76956159e-02
533,4.22811841e-02
534,3.87547636e-02
535,3.23992040e-02
536,2.70657763e-02
537,2.45913743e-02
538,1.99832914e-02
539,1.80223338e-02
540,1.62304196e-02
541,1.51575059e-02
542,1.34987219e-02
543,1.25106158e-02
544,1.14077239e-02
545,1.04516329e-02
546,9.89870227e-03
547,9.18827627e-03
548,8.49842588e-03
549,7.95655298e-03
550,7.53737484e-03
551,6.60175764e-03
552,5.72917522e-03
553,5.10544464e-03
554,4.47780399e-03
555,4.35208328e-03
556,3.89240012e-03
557,3.33605502e-03
558,3.13916734e-03
559,2.78744173e-03
560,2.17124455e-03
561,1.79649110e-03
562,1.61170436e-03
563,1.25124907e-03
564,1.16077040e-03
565,1.05598238e-03
566,8.96322990e-04
567,9.51529371e-04
568,7.52919639e-04
569,5.77172715e-04
