time,frequency,selection
304,0.01785714,-0.00434022
305,0.01785714,-0.00529354
306,0.01785714,-0.00862909
307,0.01785714,-0.00799057
308,0.01785714,-0.01185410
309,0.00833333,-0.02547061
310,0.00833333,-0.02733667
311,0.00833333,-0.02962661
312,0.00833333,-0.03039318
313,0.01439394,-0.02195861
314,0.01118881,0.04117575
315,0.01118881,0.03584103
316,0.02331002,0.14051790
317,0.02331002,0.11558150
318,0.02701373,0.13102631
319,0.03214193,0.12663327
320,0.03820254,0.17142281
321,0.04772635,0.22977366
322,0.05798276,0.25699744
323,0.06464942,0.26716809
324,0.07946424,0.28138961
325,0.07946424,0.26085629
326,0.07946424,0.25711512
327,0.09374995,0.25374471
328,0.08768935,0.25924420
329,0.08256114,0.25098120
330,0.10478336,0.26075709
331,0.09266215,0.23223146
332,0.10218596,0.26315172
333,0.12514893,0.29726540
334,0.12002072,0.27576896
335,0.11396011,0.25176893
336,0.11655752,0.26468913
337,0.10630111,0.22863952
338,0.11444925,0.22895110
339,0.10989085,0.22747537
340,0.12893847,0.25654674
341,0.15116069,0.26221827
342,0.16354164,0.33228919
343,0.19943908,0.38571151
344,0.22702529,0.40236759
345,0.25117988,0.45756268
346,0.29784654,0.46747785
347,0.33117988,0.45842270
348,0.35340210,0.46203981
349,0.38238761,0.46121414
350,0.42876442,0.48693309
351,0.45300684,0.47818678
352,0.50782166,0.52429932
353,0.55041425,0.55125907
354,0.59957813,0.59088716
355,0.63978977,0.60680522
356,0.67211300,0.62632106
357,0.70084539,0.63923670
358,0.72306762,0.63913786
359,0.73992585,0.64477149
360,0.75091338,0.63985527
361,0.75687830,0.62709573
362,0.77344144,0.62618959
364,0.81928108,0.64674887
365,0.83416553,0.64614925
366,0.85953029,0.64802340
367,0.86799231,0.64978821
368,0.87386174,0.64888778
369,0.87694145,0.64854449
370,0.88332321,0.64931583
371,0.89038113,0.64979047
372,0.89804514,0.65258334
373,0.90262389,0.64937890
374,0.91878551,0.64820262
375,0.91596662,0.63894702
376,0.92710316,0.63680810
377,0.93064583,0.63097571
378,0.93116775,0.62685643
379,0.93546068,0.62853345
380,0.93862519,0.62767281
381,0.94131627,0.62624729
382,0.94108291,0.62247293
383,0.94312594,0.61962824
384,0.94395927,0.61590655
385,0.94319920,0.61355213
386,0.94475372,0.61167126
387,0.94477309,0.60847106
388,0.94551554,0.60543931
389,0.95157615,0.60398676
390,0.96369736,0.60787098
391,0.96582072,0.60975004
392,0.96906146,0.61265156
393,0.97015018,0.61185718
394,0.97062415,0.61022763
395,0.97286505,0.60893843
396,0.97352494,0.60789185
397,0.97251850,0.60682102
398,0.97305229,0.60394553
399,0.97507843,0.60307999
400,0.97478082,0.60166987
401,0.97613905,0.60095307
402,0.97972328,0.60050008
403,0.98294909,0.60096186
404,0.98294909,0.60093824
405,0.98294909,0.60066461
406,0.97946896,0.59833651
407,0.97822252,0.59176353
408,0.97941300,0.58835243
409,0.98146428,0.58885607
410,0.98146428,0.58966578
411,0.98305158,0.59031607
412,0.98768121,0.59474982
413,0.98457265,0.59484554
414,0.98270524,0.59207757
415,0.98478857,0.58985654
416,0.98693911,0.58914280
417,0.98404056,0.58767795
418,0.98404056,0.58509505
419,0.98404056,0.58268363
420,0.98404056,0.58151926
421,0.98829588,0.58601699
422,0.98608371,0.58739837
423,0.98608371,0.58547657
424,0.98608371,0.58482166
425,0.97719482,0.57783903
426,0.97719482,0.57083707
427,0.97719482,0.56402700
428,0.98111639,0.56516852
429,0.98429099,0.56741743
430,0.96762433,0.56039213
431,0.95280951,0.54600150
432,0.95570806,0.53439982
433,0.95570806,0.52597701
434,0.95570806,0.52408154
435,0.95570806,0.52184352
436,0.94237473,0.51324897
437,0.94629630,0.50841307
438,0.94629630,0.50175029
439,0.94629630,0.50181445
440,0.95518519,0.51260551
441,0.95518519,0.51138434
442,0.95518519,0.50894120
443,0.95518519,0.50938475
444,0.94185185,0.50718723
445,0.95851852,0.51470423
446,0.97333333,0.52613793
447,0.97333333,0.52591202
448,0.97333333,0.52599192
449,0.97333333,0.52683098
450,0.97333333,0.52717561
451,0.98666667,0.53306509
452,0.96444444,0.52832547
453,0.96444444,0.52597427
454,0.96444444,0.52333017
455,0.96444444,0.52331667
456,0.96444444,0.52343833
457,0.96444444,0.52276802
458,0.96444444,0.52060895
