time,frequency
63,0.00000000
64,0.00000000
65,0.00000000
66,0.00000000
67,0.00000000
68,0.00000000
69,0.00000000
70,0.00000000
71,0.00000000
72,0.00000000
73,0.00000000
74,0.00000000
75,0.00000000
76,0.00000000
77,0.00000000
78,0.00000000
79,0.00000000
80,0.00000000
81,0.00000000
82,0.00000000
83,0.00000000
84,0.00000000
85,0.00000000
86,0.00000000
87,0.00000000
88,0.00000000
89,0.00000000
90,0.00000000
91,0.00000000
92,0.00000000
93,0.00000000
94,0.00000000
95,0.00000000
96,0.00000000
97,0.00000000
98,0.00000000
99,0.00000000
100,0.00000000
101,0.00000000
102,0.00000000
103,0.00000000
104,0.00000000
105,0.00000000
106,0.00000000
107,0.00000000
108,0.00000000
109,0.00000000
110,0.00000000
111,0.00000000
112,0.00000000
113,0.00000000
114,0.00000000
115,0.00000000
116,0.00000000
117,0.00000000
118,0.00000000
119,0.00000000
120,0.00000000
121,0.00000000
122,0.00000000
123,0.00000000
124,0.00000000
125,0.00000000
126,0.00000000
127,0.00000000
128,0.00000000
129,0.00000000
130,0.00000000
131,0.00000000
132,0.00000000
133,0.00000000
134,0.00000000
135,0.00000000
136,0.00000000
137,0.00000000
138,0.00000000
139,0.00000000
140,0.00000000
141,0.00000000
142,0.00000000
143,0.00000000
144,0.00000000
145,0.00000000
146,0.00000000
147,0.00000000
148,0.00000000
149,0.00000000
150,0.00000000
151,0.00000000
152,0.00126582
153,0.00342410
154,0.01433319
155,0.01433319
156,0.01433319
157,0.01433319
158,0.01433319
159,0.01433319
160,0.01433319
161,0.01433319
162,0.01306736
163,0.01090909
164,0.00000000
165,0.00000000
166,0.00000000
167,0.00000000
168,0.00036364
169,0.00036364
170,0.00036364
171,0.00036364
172,0.00036364
173,0.00036364
174,0.00036364
175,0.00036364
176,0.00036364
177,0.00036364
178,0.00000000
179,0.00000000
180,0.00000000
181,0.00000000
182,0.00000000
183,0.00000000
184,0.00000000
185,0.00000000
186,0.00000000
187,0.00000000
188,0.00000000
189,0.00000000
190,0.00000000
191,0.00000000
192,0.00000000
193,0.00000000
194,0.00000000
195,0.00000000
196,0.00000000
197,0.00000000
198,0.00000000
199,0.00136986
200,0.00136986
201,0.00136986
202,0.00341068
203,0.00341068
204,0.00485995
205,0.00603643
206,0.01473208
207,0.01473208
208,0.01473208
209,0.01336221
210,0.01558444
211,0.01727935
212,0.01826884
213,0.02554157
214,0.03144523
215,0.03645433
216,0.03240984
217,0.03588810
218,0.03880781
219,0.04276820
220,0.04054598
221,0.03990370
222,0.04463202
223,0.04985929
224,0.05623184
225,0.05877110
226,0.06560643
227,0.07564168
228,0.08426043
229,0.10367666
230,0.12403865
231,0.13965269
232,0.15169272
233,0.16521313
234,0.17815431
235,0.19234614
236,0.20560713
237,0.21517054
238,0.22806390
239,0.23229291
240,0.23497924
241,0.25340030
242,0.25722801
243,0.25083377
244,0.25568369
245,0.26594010
246,0.26785929
247,0.27574471
